Image,School,Sub-District,Location,Opened,Closed,Notes
,Allen School,Allen (31st Ward),Allentown,1891,1961[3],Replaced by Grandview Elementary. Demolished.
,American Avenue School,Sheraden (43rd Ward),Sheraden,1901,1959[4],Replaced by Sheraden Elementary on same site
,Andrews School,Howard (16th Ward),Bloomfield,1868,1943[5],Demolished
,Bane School,St. Clair (27th Ward),South Side Slopes,1895,1961[6],Replaced by Arlington Elementary. Demolished.
,Baxter School (Brushton No. 3),Brushton (37th Ward),Homewood North,1909,n/a,Baxter closed in 1978.[7] Reopened as Student Achievement Center alternative school.
,Bayard School (Washington No. 3),Washington (17th Ward),Central Lawrenceville,1874,1939[8],Replaced by Arsenal Elementary. Now a residential building.
,Bedford School,Bedford (29th Ward),South Side Flats,1850,1960[9],Replaced by Phillips Elementary. Used as a special education school from 1958–1960; program moved to Pioneer School. Now a residential building.
,Beechview School,Beechview,Beechview,1905,c. 1932,Demolished in 1943[10]
,Beechwood School,West Liberty (44th Ward),Beechview,1908,n/a,Now Beechwood PreK–5
,Bellefield School,Oakland (14th Ward),North Oakland,1865,1957,Replaced by Frick Elementary and subsequently used as a girls' vocational high school. Destroyed by fire in 1957.[11]
,Belmar School,Homewood (21st Ward),Homewood North,1900,2011,Belmar Elementary closed in 2004.[12] Used as Homewood Montessori (2004-2006) and Lincoln 6-8 (2006–2011). Now vacant.[13]
,Beltzhoover School,Beltzhoover (38th Ward),Beltzhoover,1905,2004[12],
,Bennett School (Brushton No. 2),Brushton (37th Ward),Homewood South,1900,1955[14],Demolished
,Birmingham School,Birmingham (28th Ward),South Side Flats,1870,1943[15],Now a residential building
,Bon Air School,Bon Air,Bon Air,1902,1954[16],Replaced by Bon Air Elementary on same site
,Brashear School,St. Clair (27th Ward),South Side Slopes,1874,1956[17],Demolished
,Brookline School,West Liberty (44th Ward),Brookline,1907,n/a,Now Brookline PreK–8
,Browns School,Peebles (23rd Ward),Squirrel Hill South,1888,1932[18],Now a residence
,Brushton School (Brushton No. 1),Brushton (37th Ward),Homewood South,1892,1943[5],Demolished
,Cargo School,Mt. Washington (32nd Ward),Mount Washington,1896,1943[19],Demolished
,Central High School,n/a,Crawford–Roberts,1871,1933,Replaced by Schenley High. Used as a short-course high school from 1916–1933. Demolished in 1946.[20]
,Chartiers School,Sheraden (43rd Ward),Chartiers,1904,1939[8],
,Colfax School (Colfax No. 1),Colfax (22nd Ward),Squirrel Hill South,1911,n/a,Now Colfax K–8
,Crescent School,Crescent (41st Ward),East Hills,1900,1939[8],Replaced by Crescent Elementary
,Esplen School,Esplen (40th Ward),Esplen,1889,1953[21],Now a commercial building
,Fifth Avenue High School,n/a,Uptown,1894,1976,Now a residential building
,Forbes School,Forbes (6th Ward),Uptown,1885,1973[22],Demolished
,Fort Pitt School,Hiland (19th Ward),Garfield,1907,2012[23],
,Forward School (Colfax No. 3),Colfax (22nd Ward),Greenfield,1886,1943[5],Replaced by Greenfield Elementary; remained open as a kindergarten until 1943. Demolished.
,Stephen C. Foster School (Washington No. 2),Washington (17th Ward),Central Lawrenceville,1886,1939[8],Replaced by Arsenal Elementary. Now a community center.
