"School Year","School ID","School Name","Sub Group Category","Sub Group","Number of Students","Average Attendance Rate","Chronic Absence Rate"
"2023-2024",301,"Allderdice High School","Economically Disadvantaged","Econ. Disadv.","756","0.87446621026232","0.457671957671958"
"2023-2024",301,"Allderdice High School","Economically Disadvantaged","Not Econ. Disadv.","674","0.929455857370532","0.213649851632047"
"2023-2024",301,"Allderdice High School","ELL Status","ELL","141","0.894197262764507","0.390070921985816"
"2023-2024",301,"Allderdice High School","ELL Status","Not in ELL","1289","0.902189519868563","0.337470907680372"
"2023-2024",301,"Allderdice High School","Foster Care Status","In Foster Care","14","0.815126050420168","0.5"
"2023-2024",301,"Allderdice High School","Foster Care Status","Not In Foster Care","1416","0.902042514103486","0.341101694915254"
"2023-2024",301,"Allderdice High School","Gender","Female","650","0.89164204974327","0.383076923076923"
"2023-2024",301,"Allderdice High School","Gender","Male","780","0.909983908542883","0.308974358974359"
"2023-2024",301,"Allderdice High School","Grade","Grade 09","365","0.895618201844968","0.375342465753425"
"2023-2024",301,"Allderdice High School","Grade","Grade 10","371","0.904308715207614","0.328840970350404"
"2023-2024",301,"Allderdice High School","Grade","Grade 11","376","0.916382472170388","0.289893617021277"
"2023-2024",301,"Allderdice High School","Grade","Grade 12","318","0.886598141925282","0.383647798742138"
"2023-2024",301,"Allderdice High School","Has 504 Plan","No","1343","0.900628705527924","0.344750558451229"
"2023-2024",301,"Allderdice High School","Has 504 Plan","Yes","87","0.914737787604505","0.310344827586207"
"2023-2024",301,"Allderdice High School","Homelessness Status","Experiencing Homelessness","52","0.821198156682028","0.692307692307692"
"2023-2024",301,"Allderdice High School","Homelessness Status","Not Experiencing Homelessness","1378","0.903824342524988","0.329462989840348"
"2023-2024",301,"Allderdice High School","IEP Status","Gifted","211","0.936685238996561","0.161137440758294"
"2023-2024",301,"Allderdice High School","IEP Status","IEP","188","0.856546251827104","0.515957446808511"
"2023-2024",301,"Allderdice High School","IEP Status","Not IEP or Gifted","1031","0.901341752170481","0.348205625606208"
"2023-2024",301,"Allderdice High School","Race","African American","504","0.865455301131272","0.496031746031746"
"2023-2024",301,"Allderdice High School","Race","American Indian","n<11","n<11","n<11"
"2023-2024",301,"Allderdice High School","Race","Asian (not Pacific Islander)","66","0.950748658065731","0.166666666666667"
"2023-2024",301,"Allderdice High School","Race","Hispanic","99","0.880482157450286","0.464646464646465"
"2023-2024",301,"Allderdice High School","Race","Multi-Racial","110","0.905155429071804","0.372727272727273"
"2023-2024",301,"Allderdice High School","Race","Native Hawaiian or other Pacific Islander","n<11","n<11","n<11"
"2023-2024",301,"Allderdice High School","Race","White","642","0.924050288697733","0.216510903426791"
"2023-2024",301,"Allderdice High School",,"Total","1430","0.901508039720612","0.342657342657343"
"2023-2024",204,"Allegheny 6-8","Economically Disadvantaged","Econ. Disadv.","166","0.927220159908624","0.265060240963855"
"2023-2024",204,"Allegheny 6-8","Economically Disadvantaged","Not Econ. Disadv.","17","0.9554682383759","0.0588235294117647"
"2023-2024",204,"Allegheny 6-8","ELL Status","ELL","n<11","n<11","n<11"
"2023-2024",204,"Allegheny 6-8","ELL Status","Not in ELL","n<11","n<11","n<11"
"2023-2024",204,"Allegheny 6-8","Foster Care Status","In Foster Care","n<11","n<11","n<11"
"2023-2024",204,"Allegheny 6-8","Foster Care Status","Not In Foster Care","n<11","n<11","n<11"
"2023-2024",204,"Allegheny 6-8","Gender","Female","92","0.930118798043326","0.239130434782609"
"2023-2024",204,"Allegheny 6-8","Gender","Male","91","0.929871485419793","0.252747252747253"
"2023-2024",204,"Allegheny 6-8","Grade","Grade 06","63","0.933552631578947","0.238095238095238"
"2023-2024",204,"Allegheny 6-8","Grade","Grade 07","67","0.932080675745561","0.238805970149254"
"2023-2024",204,"Allegheny 6-8","Grade","Grade 08","n<11","n<11","n<11"
"2023-2024",204,"Allegheny 6-8","Grade","Grade 09","n<11","n<11","n<11"
